url,source,statut,nb_mots,score_pertinence,date
https://www.larepubliquedespyrenees.fr/societe/afp/je-fais-ce-qu-il-dit-vaut-mieux-valerie-bacot-raconte-l-emprise-de-son-mari-proxenete-5248115.php,La République des Pyrénées,retenu,636,4,2021-06-21
https://www.huffingtonpost.fr/life/article/valerie-bacot-enceinte-a-17-ans-de-son-beau-pere-un-moment-charniere_183050.html,Le HuffPost,retenu,911,4,2021-06-25
https://www.lindependant.fr/2021/06/25/violentee-et-prostituee-par-son-mari-valerie-bacot-condamnee-pour-son-meurtre-mais-ne-retournera-pas-en-prison-9631429.php,L'Indépendant,retenu,259,3,2021-06-25
https://www.le-pays.fr/paris-75000/faits-divers/valerie-bacot-exprime-sa-rancur-vis-a-vis-de-certains-gendarmes_14007964/,Le Pays Roannais,erreur,0,0,
https://www.linfo.re/france/societe/syndrome-de-la-femme-battue-le-temoignage-de-valerie-bacot-au-senat,Linfo.re,retenu,306,4,2021-11-06
https://www.bienpublic.com/faits-divers-justice/2021/11/06/valerie-bacot-condamnee-pour-avoir-tue-son-mari-violent-et-proxenete-a-la-clayette-je-vis-toujours-dans-le-passe-mais-je-veux-avancer,Le Bien Public,hors_sujet,164,0,2021-11-06
https://www.revolutionpermanente.fr/Valerie-Bacot-face-a-la-police-et-a-Schiappa-J-ai-beaucoup-de-rancoeur-envers-les-gendarmes,Revolution Permanente,retenu,498,3,2021-09-07
https://www.sudouest.fr/faits-divers/neuf-ans-requis-pour-laurence-s-jugee-pour-le-meurtre-de-son-mari-violent-6320573.php,Sud Ouest,hors_sujet,504,0,2021-10-01
https://www.ouest-france.fr/normandie-pour-la-paix/entretien-dans-l-objectif-de-sylvia-galmot-les-femmes-sont-libres-et-egales-c3ce36ea-1797-11ec-980f-18f5c72f36bc,Ouest-France,erreur,0,0,
https://www.leprogres.fr/faits-divers-justice/2021/09/24/nathalie-tomasini-pourquoi-elle-accuse-eric-dupond-moretti,Le Progrès,retenu,156,3,2021-09-24
https://www.femmeactuelle.fr/actu/news-actu/taxi-5-said-bogota-ecope-de-16-ans-de-prison-pour-tentative-de-meurtre-2120158,Femme Actuelle,hors_sujet,371,0,2021-09-22
"https://www.marieclaire.fr/nord-une-jeune-femme-violee-et-menacee-de-mort-demande-de-l-aide-aux-bailleurs-sociaux,1400233.asp",Marie Claire,retenu,820,3,2021-09-09
