texte,auteur,handle,date,datetime,url,likes,retweets,nb_mots
"Valérie Bacot a agi « sans préméditation, poussée à bout par la peur, la violence physique et les menaces quotidiennes ».
Légitime défense",Jos #StopPesticides#FreeReinerFuellmich,@JosVasDen,2021-01-21,2021-01-21T21:14:57.000Z,https://x.com/JosVasDen/status/1352364082670796803,1,0,23
"En France, certains et certaines, comme au moment de l'affaire Jacqueline Sauvage, réclament que la légitime défense différée et le SFB soient reconnus en France. Sans succès. Mais le cas de Valérie Bacot marque peut-être une rupture car il a été évoqué pendant le procès",Vanessa Codaccioni,@VCodaccioni,2021-06-28,2021-06-28T20:09:56.000Z,https://x.com/VCodaccioni/status/1409605003128487937,2,1,45
"#MidiNews 
@SoMabrouk
 Alors, effectivement, peu médiatisée cette affaire de Valérie Bacot  Avec le peu d'informations ce que j'ai, je ne prends pas pourquoi c'est pour ""assassinat"" et non ""légitime défense""!!!!",【• ★ Esther ☆•】『Estrella』,@RIBEIROEsther1,2021-06-21,2021-06-21T10:12:38.000Z,https://x.com/RIBEIROEsther1/status/1406917971834986501,0,0,30
"Violée, frappée, prostituée, Valérie Bacot encourt la perpétuité pour le meurtre de son mari violent https://ouest-france.fr/societe/justice/violee-frappee-prostituee-par-son-mari-valerie-bacot-encourt-la-prison-a-perpetuite-pour-meurtre-7300464… via @ouestfrance Et la légitime défense? Elle devait se laisser tuer?","N'KAOUA @NKAOUA1·Jun 14, 2021",@NKAOUA1,2021-06-14,2021-06-14T08:52:03.000Z,https://x.com/NKAOUA1/status/1404360976032583684,0,0,27
"https://lefigaro.fr/faits-divers/proces-bacot-dans-cette-histoire-il-n-y-a-rien-qui-va-du-debut-a-la-fin-20210621…

Tentative d'empoisonnement puis coup de feu. C'est pas de la Légitime défense, c'est un meurtre. Après, le parquet lui met 5ans de prison dont 1 ferme, elle n'ira pas en prison pour une peine inférieur à 2ans.","Gros canard@LeGrosCaonnard·Jun 25, 2021",@LeGrosCaonnard,2021-06-25,2021-06-25T09:01:59.000Z,https://x.com/LeGrosCaonnard/status/1408349742367653898,0,0,38
"Moi essayant d’expliquer les conditions de qualification de la légitime défense (en plus du fait qu’on ne puisse juger une affaire sans avoir accès au dossier) à chaque fois qu’un proche me parle de Valérie Bacot. 

J’aurais dû faire une fac d’arts du spectacle.","Marlon @Ephyzio·Jun 25, 2021",@Ephyzio,2021-06-25,2021-06-25T10:13:24.000Z,https://x.com/Ephyzio/status/1408367717850230785,9,0,44
"""Son mari était toujours dans sa tête, au sein de sa pensée. Elle n'était toujours pas seule un an et demi après sa mort. Elle reste avec les diktats de son mari. Elle est dans cette emprise permanente. L'emprise est permanente même quand le conjoint est absent."" #Bacot",Thibault Malandrin,@tibomalandrin,2021-06-24,2021-06-24T08:07:44.000Z,https://x.com/tibomalandrin/status/1407973705565806592,10,1,48
"Sous emprise d’un mari tortionnaire 
@de_bacot
 a vécu l’enfer 24 ans et s’en est sortie en commettant l’irréparable. Victime de violences intrafamiliales, la justice l’a libérée après 1 an de détention provisoire. Je l’interroge ce matin à 
@Interieur_Gouv
  
https://
lci.fr/amp/justice-fa
its-divers/video-proces-de-valerie-bacot-un-verdict-qui-fera-date-2189917.html
…",Alexandra Louis,@ALouisMars,2021-09-06,2021-09-06T05:58:09.000Z,https://x.com/ALouisMars/status/1434757793312018432,38,7,42
"Il a violé sa belle-fille, à partir de ses 12 ans, a été condamné. Mais à sa sortie de prison (deux ans et demi), tout a repris comme si de rien n'était. 
C'est seulement en tuant son mari (ex-beau-père) que Valérie Bacot a mis fin à une vie sous emprise.

https://
france3-regions.francetvinfo.fr/bourgogne-fran
che-comte/saone-et-loire/chalon-sur-saone/violee-frappee-prostituee-valerie-bacot-24-ans-sous-emprise-jusqu-a-tuer-son-mari-2126245.html?utm_medium=Social&utm_source=Facebook&fbclid=IwAR0DetAsApwz62zs1REQERwCeFdvUMup9V9Gye_adgn2ZPN91kuK-kboj5E#Echobox=1623510562-1
…",Raphaëlle Remande,@RaphaelleRemand,2021-06-13,2021-06-13T08:48:35.000Z,https://x.com/RaphaelleRemand/status/1403997716976439299,0,0,54
"On est une plus dans une situation d'inceste que de violences conjugales... Il avait autorité sur elle. L'emprise et le contrôle sur Valérie Bacot est établie depuis son enfance, si elle s'est, par la suite, mariée avec lui c'est bien à cause de cette emprise...",Blandine,@blandoche99,2021-07-14,2021-07-14T08:32:27.000Z,https://x.com/blandoche99/status/1415227679687774208,0,0,45
