url,title,author,date,sitename,query_trigger,word_count,scraped_at
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/recit-battue-violee-prostituee-valerie-bacot-tue-son-mari-13-epouse-victime-accusee-1854434.html,"RÉCIT. Battue, violée, prostituée, Valérie Bacot a tué son mari (1/3). L'épouse victime et accusée",Gabriel Talon,2020-10-02,,Valérie Bacot,1786,2026-05-28T14:15:40.694531
https://www.parismatch.com/Actu/Societe/L-avocat-general-requiert-la-clemence-forte-emotion-au-proces-de-Valerie-Bacot-1744528,L'avocat général requiert la clémence : forte émotion au procès de Valérie Bacot,La Rédaction; Avec Afp,2021-06-25,,Valérie Bacot,712,2026-05-28T14:15:43.024449
https://www.ici.fr/emissions/la-scene-culture/tout-le-monde-savait-avec-sylvie-testud-l-histoire-de-valerie-bacot-mise-en-scene,"“Tout le monde savait” avec Sylvie Testud, l’histoire de Valérie Bacot mise en scène - ICI",David Lantin,2022-10-27,,Valérie Bacot,473,2026-05-28T14:15:45.930839
https://www.tf1info.fr/justice-faits-divers/video-condamnee-pour-l-assassinat-de-son-mari-violent-valerie-bacot-ne-retournera-pas-en-prison-2189870.html,"Condamnée pour l'assassinat de son mari violent, Valérie Bacot ne retournera pas en prison | TF1 Info",La rédaction de TF,2021-06-25,,Valérie Bacot,167,2026-05-28T14:15:48.392311
https://www.lejsl.com/faits-divers-justice/2021/06/25/proces-de-valerie-bacot-l-heure-du-verdict,"Justice. Valérie Bacot libre : ""Un nouveau combat maintenant, pour toutes les autres femmes""",Jim GASSMANN,2021-06-25,,Valérie Bacot,960,2026-05-28T14:16:06.078568
"https://television.telerama.fr/tele/programmes-tv/valerie-bacot-pourquoi-jai-tue-mon-mari,192564444.php",Valérie Bacot : pourquoi j'ai tué mon mari,,2016-03-13,,Valérie Bacot,147,2026-05-28T14:16:10.287570
https://www.franceinfo.fr/faits-divers/justice-proces/proces-de-valerie-bacot/proces-de-valerie-bacot-son-avocate-reclame-l-acquittement-de-cette-femme-qui-a-tue-son-mari-violent-et-proxenete_4678089.html,"Valérie Bacot, condamnée à quatre ans de prison dont trois avec sursis pour l'assassinat de son mari violent, ressort libre",Franceinfo Avec Afp,2021-06-25,,Valérie Bacot,800,2026-05-28T14:16:12.810218
https://www.lefigaro.fr/faits-divers/proces-bacot-dans-cette-histoire-il-n-y-a-rien-qui-va-du-debut-a-la-fin-20210621,"Procès Bacot : «Dans cette histoire, il n'y a rien qui va, du début à la fin»",Aude Bariéty de Lagarde,2021-06-21,,Valérie Bacot,1153,2026-05-28T14:16:18.905220
https://www.bfmtv.com/societe/affaire-valerie-bacot-accusee-d-avoir-tue-son-mari-violent-personne-ne-lui-a-tendu-la-main_AN-202101210006.html,"Affaire Valérie Bacot, accusée d'avoir tué son mari violent: ""Personne ne lui a tendu la main""",Céline Hussonnois-Alaya,2021-01-21,,Valérie Bacot,451,2026-05-28T14:16:21.220283
https://www.senat.fr/rap/r22-933/r22-933_mono.html,Cérémonie de remise du Prix 2023 de la délégation aux droits des femmes - 19 septembre 2023 - Sénat,,2023-09-27,,Valérie Bacot,7618,2026-05-28T14:16:25.612309
