url,titre,auteur,date,sitename,type_doc,source_type,word_count,video_url
https://www.tf1info.fr/culture/le-sosie-de-pierre-niney-ce-coiffeur-enflamme-les-reseaux-sociaux-en-raison-de-sa-ressemblance-frappante-avec-l-acteur-2444040.html,Le sosie de Pierre Niney ? Ce coiffeur enflamme les réseaux sociaux en raison de sa ressemblance frappante avec l'acteur | TF1 Info,Mael NARPON,2026-05-28,,article,TF1 Info,182,
https://www.tf1info.fr/justice-faits-divers/detournements-de-fonds-publics-patrick-balkany-condamne-a-de-la-prison-ferme-2444085.html,Détournements de fonds publics : Patrick Balkany condamné à de la prison ferme | TF1 Info,La rédaction de TF,2026-05-28,,article,TF1 Info,248,
https://www.tf1info.fr/votre-plus-beau-marche/votre-plus-beau-marche-2026-le-marche-de-la-mure-du-fromage-et-de-la-viande-d-altitude-2437954.html,"Votre plus beau marché 2026 : le marché de la Mure, du fromage et de la viande d’altitude | TF1 Info",Geoffrey LOPES,2026-05-28,,article,TF1 Info,550,
https://www.tf1info.fr/justice-faits-divers/video-reportage-arnaque-c-est-de-la-fraude-en-bande-organisee-les-faux-audioprothesistes-dans-le-viseur-de-l-assurance-maladie-2443947.html,"""C'est de la fraude en bande organisée"" : les faux audioprothésistes dans le viseur de l'Assurance maladie | TF1 Info",La rédaction de TF,2026-05-28,,article,TF1 Info,839,
https://www.tf1info.fr/politique/presidentielle-2027-francois-hollande-candidat-l-ex-chef-de-l-etat-le-dira-en-decembre-2444055.html,"François Hollande candidat en 2027 ? L'ex-chef de l'État le dira ""en décembre"" | TF1 Info",I N,2026-05-28,,article,TF1 Info,417,
https://www.tf1.fr/tf1/chroniques-criminelles/videos/chroniques-criminelles-laffaire-valerie-bacot-le-meurtre-au-bout-de-lenfer-54646380.html,Chroniques criminelles - L'Affaire Valérie Bacot : Le meurtre au bout de l'enfer - Chroniques criminelles | TF1+,,2025-09-28,,article,,164,
https://www.parismatch.com/actu/societe/cetait-necessaire-victimes-de-violences-conjugales-elles-ont-tue-pour-survivre-269484,"« C’était nécessaire » : Victimes de violences conjugales, elles ont tué pour survivre",Manon Quérouil-Bruneel,2026-05-23,,article,,3421,
https://actu.orange.fr/videos/france/me-nathalie-tomasini-avocate-de-valerie-bacot-le-verdict-des-jures-de-la-cour-d-assises-de-chalon-sur-saone-fera-date-CNT000001C8b64.html,"Me Nathalie Tomasini, avocate de Valérie Bacot: ""Le verdict des jurés de la cour d'assises de Chalon-sur-Saône fera date"" : Actualités - Orange",,2021-06-25,,article,,168,
https://www.francetvpro.fr/contenu-de-presse/62763146,"Valérie Bacot, le dernier procès",,2025-03-11,,article,,549,
https://www.franceinfo.fr/faits-divers/justice-proces/proces-de-valerie-bacot/,Procès de Valérie Bacot,,2016-03-13,,article,,1234,
https://www.publicsenat.fr/actualites/politique/violences-faites-aux-femmes-le-temoignage-glacant-de-valerie-bacot-191089,Violences faites aux femmes : le témoignage glaçant de Valérie Bacot,Public Sénat; Héléna Berkaoui,2021-11-04,,article,,1222,
https://www.bfmtv.com/police-justice/proces/valerie-bacot-condamnee-a-4-ans-de-prison-dont-3-avec-sursis-elle-ne-retournera-pas-en-prison_AD-202106250438.html,"Valérie Bacot condamnée à 4 ans de prison dont 3 avec sursis, elle ne retournera pas en prison",Amélie Rosique avec E P,2021-06-25,,article,,292,
https://www.tf1.fr/novo19/valerie-bacot-pourquoi-jai-tue-mon-mari/videos/replay,Replay de Valérie Bacot : Pourquoi j'ai tué mon mari (Documentaire) | TF1+,,2026-01-12,,article,,155,
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/chalon-sur-saone/valerie-bacot-le-dernier-proces-un-premier-pas-vers-la-reconnaissance-du-syndrome-de-la-femme-battue-2877197.html,"Valérie Bacot, le dernier procès : un premier pas vers la reconnaissance du syndrome de la femme battue",Nathalie Zanzola,2023-11-25,,article,,1156,
